Name	Brain	Body
Philander_opossum	0.6	2.755874856
Thylamys_elegans	-0.13	1.303196057
Bettongia_gaimardi	1.08	3.104828404
Bettongia_penicillata	1	2.991669007
Cercartetus_concinnus	-0.51	0.977723605
Cercartetus_lepidus	-0.43	0.892094603
Dactylopsila_trivirgata	0.78	2.704150517
Dendrolagus_dorianus	1.52	3.897462138
Dendrolagus_inustus	1.49	4.005137596
Distoechurus_pennatus	-0.01	1.657055853
Dorcopsis_luctuosa	1.33	3.868761958
Gymnobelideus_leadbeateri	0.47	1.956648579
Lagorchestes_conspicillatus	1.16	3.30427505
Macropus_antilopinus	1.77	4.495350041
Macropus_eugenii	1.39	3.645913275
Macropus_parma	1.24	3.575187845
Macropus_parryi	1.63	4.181672122
Macropus_robustus	1.79	4.550717423
Macropus_rufogriseus	1.58	4.088401902
Onychogalea_fraenata	1.13	3.15624619
Petauroides_volans	0.69	2.954242509
Petrogale_concinna	1.06	3.148294097
Petrogale_penicillata	1.39	3.777426822
Petrogale_persephone	1.35	3.758306182
Phalanger_carmelitae	0.94	3.244029589
Phalanger_orientalis	0.93	3.223755454
Phalanger_ornatus	0.86	3.160768562
Phalanger_vestitus	0.99	3.223236273
Pseudocheirus_peregrinus	0.76	2.880241776
Spilocuscus_maculatus	1.14	3.495127881
Thylogale_billardierii	1.36	3.558468563
Thylogale_thetis	1.3	3.567496891
Trichosurus_vulpecula	1.06	3.245759356
Vombatus_ursinus	1.79	4.434441152
Wallabia_bicolor	1.51	4.214843848
Atelerix_albiventris	0.35	2.447158031
Atelerix_algirus	0.51	2.897627091
Blarina_brevicauda	-0.54	1.247973266
Condylura_cristata	0.14	1.698970004
Crocidura_fuscomurina	-0.89	0.748188027
Crocidura_russula	-0.72	1.01911629
Cryptotis_parva	-0.92	0.72427587
Desmana_moschata	0.6	2.643452676
Erinaceus_europaeus	0.56	2.857595625
Galemys_pyrenaicus	0.12	1.759667845
Hemiechinus_auritus	0.28	2.397940009
Neomys_fodiens	-0.52	1.213517757
Neurotrichus_gibbsii	-0.04	1
Notiosorex_crawfordi	-0.82	0.77815125
Scalopus_aquaticus	0.17	1.597695186
Scapanus_townsendii	0.31	1.84509804
Solenodon_paradoxus	0.67	2.954242509
Sorex_araneus	-0.65	0.949390007
Sorex_arcticus	-0.57	0.913813852
Sorex_cinereus	-0.77	0.591064607
Sorex_fumeus	-0.68	0.949390007
Sorex_hoyi	-1.03	0.484299839
Sorex_minutus	-0.89	0.662757832
Sorex_monticolus	-0.64	0.799340549
Sorex_ornatus	-0.92	0.698970004
Sorex_palustris	-0.51	1.075546961
Sorex_trowbridgii	-0.68	0.72427587
Sorex_vagrans	-0.77	0.72427587
Suncus_etruscus	-1.15	0.350248018
Suncus_murinus	-0.41	1.544068044
Surdisorex_polulus	-0.4	1.269512944
Talpa_europaea	0.15	1.89116563
Lepus_americanus	0.99	3.176091259
Lepus_arcticus	1.2	3.626443025
Lepus_californicus	1.12	3.364532235
Lepus_capensis	1.03	3.382467322
Lepus_europaeus	1.16	3.290924559
Lepus_nigricollis	1.06	3.292477594
Lepus_timidus	1.18	3.515144995
Ochotona_hyperborea	0.35	2.079181246
Ochotona_princeps	0.38	2.227886705
Ochotona_rufescens	0.44	2.397940009
Oryctolagus_cuniculus	1.05	3.333970933
Sylvilagus_audubonii	0.78	2.898999271
Sylvilagus_bachmani	0.82	2.852723911
Sylvilagus_brasiliensis	0.65	2.64246452
Sylvilagus_floridanus	0.88	3.015359755
Alouatta_caraya	1.71	3.700054386
Alouatta_palliata	1.7	3.774662923
Alouatta_seniculus	1.66	3.451402614
Aotus_lemurinus	2.05	3.955519386
Aotus_trivirgatus	1.21	2.846139098
Ateles_fusciceps	2.06	3.955519386
Ateles_geoffroyi	2.02	3.76147678
Ateles_paniscus	2.04	3.53529412
Avahi_laniger	1.02	3.108903128
Callicebus_moloch	1.28	2.954242509
Callithrix_jacchus	0.89	2.540897998
Callithrix_pygmaea	0.67	2.129528774
Cebus_albifrons	1.8	3.209515015
Cebus_apella	1.85	3.41313205
Cebus_capucinus	1.85	3.32322631
Cebus_olivaceus	1.86	3.428863408
Cercocebus_agilis	1.98	3.672097858
Cercopithecus_cephus	1.88	3.54510085
Cercopithecus_mitis	1.88	3.799340549
Cercopithecus_mona	1.83	3.477265995
Cheirogaleus_major	0.83	2.653212514
Cheirogaleus_medius	0.52	2.25446751
Chlorocebus_aethiops	1.81	3.538154652
Colobus_angolensis	1.87	3.985426474
Colobus_guereza	1.92	4.01204592
Daubentonia_madagascariensis	1.65	3.447158031
Erythrocebus_patas	2	3.867820908
Eulemur_macaco	1.35	3.319349002
Eulemur_mongoz	1.38	3.192938963
Eulemur_rubriventer	1.4	3.006466042
Galago_senegalensis	0.77	2.477603536
Gorilla_gorilla	2.66	5.082695631
Hylobates_agilis	1.94	3.742626952
Hylobates_lar	1.97	3.744292983
Hylobates_muelleri	1.98	3.77487265
Indri_indri	1.58	3.795880017
Lagothrix_lagotricha	1.95	3.591621038
Lemur_catta	1.34	3.320146286
Leontopithecus_rosalia	1.12	2.709587931
Lophocebus_albigena	1.99	3.70969387
Loris_tardigradus	0.78	2.507855872
Macaca_arctoides	2	3.882524538
Macaca_assamensis	1.96	3.562887381
Macaca_fascicularis	1.83	3.492684213
Macaca_maura	1.98	3.835436895
Macaca_mulatta	1.94	3.663962533
Macaca_nemestrina	2.04	3.648945182
Macaca_nigra	1.99	3.538070787
Macaca_sinica	1.76	3.294466226
Macaca_sylvanus	1.94	4.049218023
Mandrillus_sphinx	2.2	4.06069784
Microcebus_murinus	0.26	1.763427994
Nycticebus_coucang	1.11	2.816572696
Nycticebus_pygmaeus	0.89	2.681241237
Pan_paniscus	2.52	4.598790507
Pan_troglodytes	2.55	4.781275289
Papio_hamadryas	2.15	4.079904468
Perodicticus_potto	1.08	2.968171515
Pithecia_monachus	1.54	3.176091259
Pongo_pygmaeus	2.53	4.734231916
Propithecus_verreauxi	1.43	3.541579244
Pygathrix_nemaeus	1.89	3.875061263
Saguinus_geoffroyi	1.15	2.802545689
Saguinus_oedipus	0.98	2.514737442
Saimiri_boliviensis	1.38	2.875061263
Saimiri_oerstedii	1.35	2.781755375
Saimiri_sciureus	1.37	2.762453482
Semnopithecus_entellus	2.05	3.845718018
Tarsius_bancanus	0.43	1.889861721
