Binomial	Order	Family	Intro	Est	Invas	DCInt	Sources	BM	GT	WA	NBM	LS	LY	AFB	RL	BV	Missing?	In Previous Analysis?
Antilope_cervicapra	Artiodactyla	Bovidae	1	1	1	1	Long (2003)	4.559919785	2.221648928	1.774516966	3.52970491	0.086359831	0.301029996	2.825529972	3.820913093	-3.907272923	0	1
Varecia_variegata	Primates	Lemuridae	1	1	0	0	Long (2003)	3.585459601	2.010723865	1.957750911	1.971693239	0.334453751	0	2.845594093	4.034195149	-4.3686489	0	1
Vulpes_lagopus	Carnivora	Canidae	1	1	0	1	DAISIE; Long (2003)	3.554412834	1.72419392	1.694605199	1.839917776	0.883661435	-0.036212173	2.480786087	3.707353632	-4.591015067	0	1
Vulpes_vulpes	Carnivora	Canidae	1	1	1	1	ISSG; Long (2003)	3.683079474	1.720159303	1.705093611	2.002122846	0.661812686	-0.040958608	2.47284952	3.710111976	-4.371924662	0	1
Wallabia_bicolor	Diprotodontia	Macropodidae	1	1	0	0	Long (2003)	4.176089811	1.554852434	2.650744512	-0.22184875	0.017033339	0.146128036	2.437354128	3.709799782	-3.726833122	0	1
Erinaceus_europaeus	Erinaceomorpha	Erinaceidae	1	1	1	1	DAISIE; ISSG; Long (2003)	2.890951685	1.567966907	1.602059991	1.191451014	0.666517981	0.176091259	2.543807389	3.413837688	-4.080355668	0	0
Didelphis_marsupialis	Didelphimorphia	Didelphidae	1	1	1	1	Long (2003)	3.054900191	1.146128036	1.966000858	-0.795880017	0.850646235	0.301029996	2.261262869	3.123688342	-3.974334577	0	0
Dasypus_novemcinctus	Cingulata	Dasypodidae	1	1	0	0	DAISIE; Long (2003)	3.596488233	2.127104798	2.136308267	1.984437295	0.597695186	0	2.608229852	3.799910741	-4.397605927	0	0
Suncus_etruscus	Soricomorpha	Soricidae	1	1	0	0	DAISIE; Long (2003)	0.354108439	1.439332694	1.301029996	-0.698970004	0.602059991	0.531478917	2.358460966	2.871411578	-3.473471569	0	0
Suncus_murinus	Soricomorpha	Soricidae	1	1	1	1	ISSG; Long (2003)	1.641077313	1.479863113	1.282395505	0.387389826	0.491361694	0.991226076	1.670920423	2.990839138	-3.482200832	0	0
Talpa_europaea	Soricomorpha	Talpidae	1	1	0	1	Long (2003)	1.942156928	1.48301642	1.511749711	0.51054501	0.589949601	0	2.562292864	3.333447274	-3.923396876	0	0
Tenrec_ecaudatus	Afrosoricida	Tenrecidae	1	1	0	0	Long (2003)	2.948212401	1.779884963	1.339848783	1.384532615	1.22762965	0	2.284803413	3.356663389	-4.584293038	0	0
Oryctolagus_cuniculus	Lagomorpha	Leporidae	1	1	1	1	ISSG; Long (2003)	3.201552787	1.483587297	1.419955748	1.592287816	0.719331287	0.653212514	2.085147812	3.803343747	-4.522675034	0	1
